337413	swe	Vi trodde att det var ett flygande tefat.
341910	swe	Detta är huset jag bodde i när jag var barn.
341938	swe	Vi hade roligt på stranden igår.
341939	swe	Jag spelade tennis hela dagen.
341940	swe	De skymtade mannen genom folkmassan.
341941	swe	Han vande sig kvickt vid det kalla vädret.
341942	swe	Jag blev till slut klar med arbetet.
341943	swe	Jag kan inte komma på någon bra ursäkt till varför jag är sen till tandläkaren.
341944	swe	Kan du simma lika snabbt som honom?
353815	swe	Han är inte läkare.
353816	swe	Hon skulle gärna kommit men hon var på semester.
353817	swe	Åh nej! Mitt hus brinner!
353818	swe	Jag trodde aldrig att ett såhär fint hotell skulle finnas på en sådan här plats.
353819	swe	Detta är deras hus.
353820	swe	Men hon tyckte om barn och gillade sitt jobb.
353821	swe	Hon tycker mycket om att skriva dikter.
353822	swe	Jag kan inte stå ut med detta ljudet längre.
353823	swe	Hon bad mig att se efter hennes bebis medans hon var borta.
353824	swe	Han gnäller alltid på dålig medicinsk behandling.
353825	swe	Stick härifrån, ungjävlar!
372403	swe	Hon är en tillförlitlig person.
372416	swe	Solen skiner.
372419	swe	Den här boken verkar intressant.
372420	swe	Det var en ny bok.
372423	swe	Vems bok är det?
372425	swe	Den här boken tillhör skolbiblioteket.
372426	swe	Den här boken handlar om Kina.
372427	swe	Lägg inte plånboken på elementet.
372428	swe	Du är så trevlig.
372429	swe	Åh, herregud!
372430	swe	Du bör inte lämna barnet ensamt.
372441	swe	Studenterna lyssnar på en föreläsning i historia.
372445	swe	Idag mår jag mycket bättre.
372449	swe	Skolan ser ut som ett fängelse.
372451	swe	Alla dessa böcker är mina.
372453	swe	Behöver du den här boken?
372466	swe	Hon ville resa.
372468	swe	Framför oss stod en skrattande flicka.
372471	swe	Han arbetar åtta timmar om dagen.
372473	swe	Jag pratar inte tyska.
372474	swe	Jag förstår inte tyska.
372475	swe	Jag kan inte prata tyska.
372476	swe	Tyskan är inte ett lätt språk.
372477	swe	Nederländskan är nära besläktad med tyskan.
372478	swe	Pratar du japanska?
372479	swe	Många utlänningar pratar bra japanska.
372480	swe	Det här är en japansk docka.
372485	swe	Min hund är vit.
372620	swe	Det är kallt.
372621	swe	Det regnar.
372622	swe	Det är inte viktigt.
372623	swe	Glöm inte biljetten.
372624	swe	Minns du det?
372625	swe	Vad är det som saknas?
372626	swe	Jag minns den första gången.
372627	swe	Jag brukar diska.
372628	swe	Det är varmt idag.
372629	swe	Kommer du ihåg mig?
372630	swe	Nu är jag på flygplatsen.
372631	swe	Ingenting saknas.
372632	swe	Föräldrar älskar sina barn.
372633	swe	Jag är väldigt upptagen hemma.
372634	swe	Visa mig ett annat exempel.
372635	swe	Jag har tappat min plånbok.
372636	swe	Igår på morgonen var det väldigt kallt.
375845	swe	Denna stol är ful.
375874	swe	Varför?
375881	swe	Lycka till.
376074	swe	Vad gör du?
376078	swe	Vad gjorde du?
397491	swe	Tack!
401226	swe	Löven ändrar färg på hösten.
401227	swe	Skolbarn är förkylda dubbelt så ofta som vuxna.
401232	swe	I medicinsk forskning är ett av de största problemen att ta reda på orsaken till sjukdomen.
401237	swe	Han slipade en kniv.
401250	swe	Han blev en berömd sångare.
401255	swe	Han söker desperat efter fler bevis.
401256	swe	De här blommorna blommar tidigare än vad andra gör.
401257	swe	Den där slipsen passar bra till din skjorta.
401259	swe	Jag ska av på nästa station.
401267	swe	I morgon är det hennes födelsedag.
401268	swe	I morgon fyller hon år.
401273	swe	Hennes enda önskan var att träffa sin son igen.
401297	swe	Det hängde en hatt och en kappa på väggen.
401313	swe	Föraren vred ratten åt höger.
401316	swe	Nästa konsert kommer att hållas i juni.
401326	swe	Vi är rädda.
401347	swe	Vad betyder det?
401360	swe	De säljer diverse varor på den affären.
401367	swe	Segla längs kusten.
401388	swe	Var är den japanska ambassaden?
401394	swe	Låna mig din cykel.
401406	swe	Han måste köpa en ny cykel åt sin son.
401412	swe	Vi dekorerade rummet själva.
401443	swe	En bra lärare måste vara tålmodig med sina elever.
401459	swe	Jag stod och väntade på en buss.
401493	swe	Publiken bestod mest av elever.
401505	swe	Jag har bott här.
401513	swe	Så här långt ser det bra ut.
401525	swe	När jag besökte deras lägenhet, var paret mitt i ett gräl.
401531	swe	Han är säker på att han kommer att vinna matchen.
401535	swe	Hur många engelska ord kan du?
401546	swe	Det du har blivit lärd är oriktigt.
401548	swe	Det fanns inte en själ i sikte.
401554	swe	Tomten stod på tomten.
402086	swe	Lägg tillbaka boken där du fann den.
402087	swe	Kärleken kommer så småningom.
402091	swe	Löven virvlade runt på gården.
402099	swe	Man har funnit olja under Nordsjön.
402105	swe	Han klagade över att rätten smakade illa.
402109	swe	Våra ansträngningar medförde inte någon framgång.
402111	swe	Du ska inte tro att det kommer att bli enkelt.
402119	swe	Jag gav det ett försök och tänkte att allting är värt ett försök. Men att sätta ihop ett sånt här program klarar jag inte av.
402123	swe	Ett stort djur rymde från zoo.
402135	swe	Kom när ni vill.
402167	swe	När lämnar din far sitt kontor?
402173	swe	Du kan alltid räkna med honom i en nödsituation.
402175	swe	Läraren kräver utmärkt arbete från sina elever.
402176	swe	Det är 800 meters gångväg från mitt hus till skolan.
402179	swe	Rosorna blommar i vår trädgård.
402191	swe	Vad är den bekvämaste vägen till Tokyo station?
402198	swe	Den här gamla bilen går sönder hela tiden.
403391	swe	Trädgården har blivit profesionellt anlagd.
403424	swe	Hon kan tala tio språk.
403442	swe	Hon älskar att se på tennismatcher på tv.
403455	swe	Det är lite kallt idag.
403457	swe	Vill du följa med?
403465	swe	Jag hade väldigt hög feber.
403491	swe	Jag behöver inte din hjälp.
409599	swe	Jag är hungrig.
409610	swe	Jag är hungrig för jag har inte ätit lunch.
409655	swe	Jag tror inte att det kommer att regna i morgon.
409662	swe	Jag är bäst.
409670	swe	Ärligt talat, hans tal är alltid tråkiga.
409671	swe	Han stal plånboken av mig.
409672	swe	Mina pengar är slut.
409673	swe	Tack för din förklaring.
409674	swe	Vad?
409675	swe	Jag pratar inte japanska.
409676	swe	Jag kan inte japanska.
409677	swe	Vad kostar det?
409678	swe	Jag förstår inte.
409683	swe	Vad är det?
409684	swe	Vad består aspirin av?
409685	swe	Sluta fråga mig om en drink! Gå och hämta en själv.
409686	swe	Vad skulle världen vara utan kvinnor?
409687	swe	Du kan inte prata så högt här.
409688	swe	Det är för mörkt för att jag ska kunna läsa.
409689	swe	Du får inte parkera bilen på denna gata.
409690	swe	John och Mary har känt varandra sedan 1976.
409691	swe	Nancy, här är ett brev till dig.
409693	swe	Hon är inte så ung som hon ser ut.
409694	swe	Denna blomma är gul, men alla de andra är blåa.
409695	swe	Jag tror att han var arg.
409696	swe	Mörker är frånvaro av ljus.
409697	swe	Vems cykel är det här?
409699	swe	Ett, tre och fem är udda tal.
409706	swe	Min fru hatar katter.
409707	swe	Det här gamla bordet används fortfarande.
409708	swe	Han gillar att sjunga populära sånger.
409709	swe	Jag har fullt upp just nu.
409711	swe	Alla hästar är djur, men inte alla djur är hästar.
409712	swe	Jag gillade henne inte till en början, men nu gör jag det.
409713	swe	Du måste vara på stationen senast klockan fem.
409714	swe	Hon är en duktig tennisspelare.
409715	swe	Nederländerna är ett litet land.
409716	swe	Tecknet visar att svaret är rätt.
409718	swe	Läkaren bad herr Smith om att sluta röka.
409719	swe	Bryt chokladen i små bitar.
409720	swe	En gammal man vilade sig i skuggan av trädet.
409721	swe	Jag visste inte när jag skulle slå av maskinen.
409722	swe	Man skall älska sin mor.
409723	swe	Ge mig lite vatten, och det snabbt.
409724	swe	Jag är väldigt glad att se dig igen.
409725	swe	De gav oss jobben.
409726	swe	Vi är bjudna på middag.
409735	swe	Det är ganska kallt.
409736	swe	Det överraskar mig inte.
409737	swe	Det där är inte en kniv. Det HÄR är en kniv!
409738	swe	Han älskade att resa.
409739	swe	En dag fann jag en bok där.
409740	swe	En gång fann jag en bok där.
409741	swe	Kan du visa mig vad du har köpt?
409742	swe	Dessa två bröder liknar varandra.
409743	swe	Vi ska mötas på stationen klockan nio.
409744	swe	Var snäll och vänta i fem minuter.
409745	swe	Ta det inte personligt.
409746	swe	Han hade tänkt att gifta sig med henne.
409747	swe	Denna skrivmaskin har använts mycket.
409748	swe	Bilden hänger upp och ned.
409749	swe	Jeg vet inte om han kommer att besöka oss nästa söndag.
409750	swe	Jag är från Tokyo, Japan.
409751	swe	Hur är det? Jag har inte sett dig på evigheter!
409752	swe	Det är två elever borta idag.
409753	swe	Jag blir ofta förväxlad med min bror.
409754	swe	Klimatet är behagligt.
409876	swe	Du kan lita på honom.
409878	swe	Han tror fortfarande på hennes ord.
409881	swe	Företaget gick i konkurs.
409883	swe	De är väldigt intresserade av astronomi.
409885	swe	Han är poet.
409886	swe	Vilket tåg tänker du ta?
409887	swe	Brevets innehåll var hemligt.
409888	swe	Han är stolt över att ha tagit examen vid Tokyo Universitet.
409889	swe	De har ingen annanstans att gå.
409892	swe	De har ingen annanstans att ta vägen.
409897	swe	Jag älskar dig.
